feature_id,name,category,t_stat,p_value,ic,icir,hit_rate,sharpe,stability,nonlinear_r2,passed
vol_change_60d,60日波动率变化,B,0.952,0.342,0.0041,0.02,0.5206,0.516,1.8939,0.0105,False
obv_mom_5d,OBV 5日动量,F,-0.951,0.3422,0.0413,0.311,0.5313,-0.155,1.2192,0.0002,False
mom20d_vol20d,动量20d×波动20d,K,0.925,0.3555,-0.0023,-0.013,0.4896,0.261,1.9083,0.0307,False
hurst_120d,Hurst 120日,L,-0.925,0.3558,-0.0308,-0.144,0.4955,-0.19,,0.0035,False
mom_20d,20日动量,A,0.92,0.358,-0.0013,-0.008,0.4836,0.265,1.535,0.0028,False
consecutive_连跌,连跌天数,A,0.908,0.3648,0.04,0.397,0.5403,0.432,1.0543,0.0015,False
consecutive_bearish_bars,连bearishK线,M,0.908,0.3648,0.04,0.397,0.5403,0.432,1.0543,0.0015,False
mom10d_vol20d,动量10d×波动20d,K,0.904,0.3667,0.043,0.188,0.5373,0.697,2.059,0.0179,False
ema_dist_26,EMA26距离,D,0.882,0.3782,0.0136,0.111,0.5224,0.133,1.4528,0.0016,False
vol_10d,10日波动率,B,-0.879,0.3802,-0.0603,-0.225,0.5075,-0.276,2.1436,0.0012,False
ema_dist_100,EMA100距离,D,-0.878,0.3808,-0.0684,-0.8,0.4806,-0.145,0.7458,0.002,False
ma_dist_slope_20_60,MA20/60距离×斜率,K,0.878,0.3807,0.0259,0.137,0.5164,0.877,1.9655,0.0051,False
body_ratio_5d,实体比 5日,M,-0.876,0.3818,-0.0588,-0.554,0.4687,-0.583,0.9474,0.0052,False
ma_cross_5_20,MA5/20交叉,D,0.854,0.3935,-0.0006,-0.003,0.4925,0.398,1.9735,0.0,False
mom_3d,3日动量,A,0.842,0.4004,0.0211,0.223,0.5015,0.248,0.7322,0.0011,False
turnover_proxy_20d,换手率proxy 20日,F,0.841,0.4011,0.0135,0.04,0.5493,0.502,2.9441,0.0021,False
ma_dist_100_200,MA100/200距离,D,-0.838,0.4033,-0.1745,-0.333,0.4592,-0.317,4.6547,0.1403,False
ma_slope_20,MA20斜率,D,0.837,0.4034,0.0109,0.076,0.4836,0.062,1.4639,0.0,False
parkinson_vol_10d,Parkinson 10日波动,B,-0.816,0.4153,-0.0739,-0.233,0.5015,-0.163,2.7082,0.0026,False
doji_count_10d,Doji数 10日,M,0.814,0.4161,0.0897,0.342,0.5254,0.441,2.2887,0.0148,False
vol_5d,5日波动率,B,-0.799,0.4249,-0.0576,-0.289,0.4836,-0.415,1.6935,0.0001,False
ma_cross_5_60,MA5/60交叉,D,0.784,0.4337,-0.0073,-0.047,0.4806,0.464,1.5179,0.0,False
vol_14d,14日波动率,B,-0.756,0.4504,-0.0607,-0.196,0.5015,-0.519,2.7442,0.0005,False
tail_events_20d_3s,20日3σ尾部事件,C,-0.754,0.4513,-0.0913,-0.423,0.4836,-0.787,,0.0,False
rsi14_vol_ratio,RSI14×量比,K,-0.752,0.4525,-0.0605,-0.252,0.4866,0.208,2.0666,0.0113,False
kurt_60d,60日峰度,C,0.734,0.4633,-0.0799,-0.37,0.5254,0.186,2.2568,0.0067,False
hurst_20d,Hurst 20日,L,-0.727,0.468,-0.0681,-0.215,0.4657,-0.136,2.6363,0.0005,False
obv_price_confirm_{w}d,OBV-价格确认 10日,K,0.691,0.4903,0.0526,0.576,0.5463,0.427,0.2743,0.0059,False
engulfing_signal,吞没形态,M,0.684,0.4946,0.0324,0.328,0.4627,0.373,0.8715,0.0,False
mom_40d,40日动量,A,-0.682,0.4957,-0.0361,-0.164,0.4955,0.052,2.2229,0.0016,False
ma_cross_20_100,MA20/100交叉,D,-0.654,0.5135,-0.0432,-0.147,0.5015,0.066,2.3089,0.0258,False
range_pct_10d,10日平均振幅,B,-0.642,0.5212,-0.0721,-0.231,0.5164,-0.256,2.6936,0.0047,False
atr_pct_{w}d,ATR% 10日,N,-0.642,0.5212,-0.0721,-0.231,0.5164,-0.256,2.6936,0.0047,False
max_dd_120d,120日最大回撤,A,-0.628,0.5302,-0.0847,-0.326,0.4687,-0.168,3.2397,0.0082,False
rsi7_vol_ratio,RSI7×量比,K,-0.602,0.5476,-0.0198,-0.097,0.5164,0.062,1.7848,0.0129,False
ma_dist_10_50,MA10/50距离,D,-0.601,0.548,-0.0463,-0.481,0.4746,-0.141,1.3505,0.0018,False
ma_dist_5_60,MA5/60距离,D,-0.593,0.5535,-0.0463,-0.448,0.4478,0.269,1.463,0.0032,False
