feature_id,name,category,ic,icir,t_stat,p_value,fdr_p,hit_rate,sharpe,stability,nonlinear_r2,n_obs,passed
vwap_slope_5d,VWAP斜率 5日,P,0.0106,0.045,1.044,0.2969,0.6471,0.487,0.257,0.2354,0.0,386,False
vwap_dev_20d,VWAP偏离 20日,P,0.0093,0.042,1.099,0.2724,0.6179,0.5141,0.298,0.2214,0.0081,391,False
ma_cross_5_20,MA5/20交叉,D,-0.011,-0.038,0.713,0.4766,0.7915,0.4808,0.293,0.2929,0.0,391,False
mom_ratio_10_50,动量比 10/50日,S,0.0113,0.037,-0.871,0.3841,0.7494,0.505,-0.513,0.3077,0.0117,400,False
cci_20,CCI(20),E,-0.0071,-0.031,0.527,0.5982,0.8831,0.515,0.202,0.2324,0.0116,400,False
mfi_14,MFI(14),P,0.0077,0.028,0.578,0.5634,0.8684,0.4935,0.309,0.2728,0.0024,387,False
bb_position_20_2,"BB位置(20,2)",E,-0.0057,-0.025,0.749,0.4544,0.773,0.5141,0.389,0.2297,0.0109,391,False
mom_3d,3日动量,A,0.0023,0.024,0.56,0.5758,0.8637,0.495,0.173,0.0957,0.0031,400,False
ma_slope_20,MA20斜率,D,-0.0054,-0.024,0.781,0.4353,0.7543,0.4663,0.111,0.2287,0.0003,386,False
mom10d_vol10d,动量10×波10,K,-0.0059,-0.024,-0.084,0.9332,1.0,0.5101,0.543,0.2404,0.0038,396,False
mfi_21,MFI(21),P,0.0061,0.022,0.524,0.6005,0.8726,0.5053,0.154,0.2824,0.0,380,False
close_location_5d,收盘位置 5日,P,0.003,0.022,0.517,0.6055,0.8663,0.4912,0.134,0.1336,0.0006,399,False
buy_power_5d,买方力量 5日,R,0.003,0.022,0.517,0.6055,0.8575,0.4912,0.134,0.1336,0.0006,399,False
sell_power_5d,卖方力量 5日,R,-0.003,-0.022,-0.517,0.6055,0.8619,0.4962,-0.134,0.1336,0.0006,399,False
bb_position_50_2,"BB位置(50,2)",E,0.0044,0.02,0.964,0.3354,0.683,0.484,0.341,0.2176,0.0206,376,False
tail_events_20d_2s,20日2σ尾部,C,-0.0044,-0.018,-0.568,0.5703,0.8743,0.49,-0.432,0.247,0.0,400,False
bb_position_20_1.5,"BB位置(20,1.5)",E,-0.0041,-0.018,0.856,0.3923,0.7346,0.5141,0.37,0.2247,0.0126,391,False
sharpe_10d,10日滚动Sharpe,A,-0.0041,-0.017,-0.015,0.9881,1.0,0.5051,0.581,0.2425,0.0014,396,False
mom_rank_50d,动量排名 50日分位,S,-0.0031,-0.017,0.106,0.9158,1.0,0.4622,-0.003,0.1851,0.0942,251,False
sharpe_20d,20日滚动Sharpe,A,-0.0037,-0.016,1.06,0.29,0.6525,0.4834,0.278,0.2327,0.0146,391,False
max_dd_120d,120日最大回撤,A,-0.0019,-0.013,0.801,0.4233,0.7475,0.4975,0.48,0.1439,0.016,400,False
ma_dist_10_20,MA10/20距离,D,0.0032,0.012,1.041,0.2985,0.6456,0.4578,0.544,0.2717,0.0,391,False
mom_14d,14日动量,A,-0.0025,-0.011,1.166,0.2442,0.6083,0.4725,0.555,0.2388,0.0032,400,False
obv_roc_3d,OBV ROC 3日,Q,-0.0016,-0.011,0.196,0.8448,1.0,0.529,-0.129,0.1544,0.0035,397,False
mom20d_vol60d,动量20×波60,K,0.002,0.01,1.194,0.2332,0.5915,0.4879,0.284,0.2133,0.0139,371,False
vol_change_60d,60日波动率变化,B,0.0013,0.006,0.873,0.3832,0.7529,0.5045,0.428,0.2308,0.0102,331,False
co_ratio_20d,收/开比20日,N,0.0012,0.005,1.122,0.2626,0.6157,0.491,0.286,0.2205,0.0022,391,False
btc_eth_corr_10d,BTC-ETH相关 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_beta_10d,BTC-ETH Beta 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_residual_10d,BTC-ETH残差 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_corr_20d,BTC-ETH相关 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_beta_20d,BTC-ETH Beta 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_residual_20d,BTC-ETH残差 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_corr_60d,BTC-ETH相关 60日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_beta_60d,BTC-ETH Beta 60日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
btc_eth_residual_60d,BTC-ETH残差 60日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_SPY_10d,SPY相关 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_SPY_10d,SPY Beta 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_SPY_20d,SPY相关 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_SPY_20d,SPY Beta 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_SPY_50d,SPY相关 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_SPY_50d,SPY Beta 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_QQQ_10d,QQQ相关 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_QQQ_10d,QQQ Beta 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_QQQ_20d,QQQ相关 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_QQQ_20d,QQQ Beta 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_QQQ_50d,QQQ相关 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_QQQ_50d,QQQ Beta 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_GLD_10d,GLD相关 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_GLD_10d,GLD Beta 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_GLD_20d,GLD相关 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_GLD_20d,GLD Beta 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_GLD_50d,GLD相关 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_GLD_50d,GLD Beta 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_DXY_10d,DXY相关 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_DXY_10d,DXY Beta 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_DXY_20d,DXY相关 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_DXY_20d,DXY Beta 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_DXY_50d,DXY相关 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_DXY_50d,DXY Beta 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_VIX_10d,VIX相关 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_VIX_10d,VIX Beta 10日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_VIX_20d,VIX相关 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_VIX_20d,VIX Beta 20日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
corr_VIX_50d,VIX相关 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
beta_VIX_50d,VIX Beta 50日,T,0.0,0.0,0.0,1.0,1.0,0.0125,0.0,0.1,0.0,400,False
