feature_id,name,category,ic,icir,t_stat,p_value,fdr_p,hit_rate,sharpe,stability,nonlinear_r2,n_obs,passed
vol_direction_20d,量方向 20日,R,-0.036,-0.581,-0.439,0.6608,0.8993,0.4725,-0.07,0.062,0.0018,400,False
large_order_20d_2s,20日大单2σ,F,-0.1116,-0.564,-1.293,0.1967,0.5434,0.4125,-0.184,0.1979,0.0146,400,False
bb_width_20_2,"BB带宽(20,2)",E,-0.1495,-0.563,-1.918,0.0559,0.2689,0.4731,-1.008,0.2654,0.0194,391,False
bb_width_20_1.5,"BB带宽(20,1.5)",E,-0.1495,-0.563,-1.918,0.0559,0.2643,0.4731,-1.008,0.2654,0.0194,391,False
up_down_ratio_10d,涨跌比10日,N,-0.1131,-0.55,-2.518,0.0122,0.1031,0.4825,-0.96,0.2057,0.0011,400,False
mom_90d,90日动量,A,-0.1014,-0.536,-1.362,0.1741,0.5167,0.48,0.187,0.1893,0.0013,400,False
rsi_21,RSI(21),E,-0.1106,-0.536,-2.844,0.0047,0.0656,0.4675,-0.352,0.2062,0.0075,400,True
mom_accel_20d_100d,20-100日动量差,A,0.0983,0.514,2.017,0.0444,0.2252,0.5125,0.184,0.1911,0.0147,400,False
consecutive_up,连涨天数,A,-0.0584,-0.511,-1.827,0.0684,0.2982,0.4775,-0.131,0.1143,0.0092,400,False
obv_price_confirm_20d,OBV确认20日,K,0.0652,0.511,1.782,0.0756,0.3245,0.5,0.689,0.1274,0.0006,380,False
consecutive_down,连跌天数,A,0.0585,0.503,1.255,0.2104,0.5699,0.53,0.474,0.1163,0.0003,400,False
rsi_30,RSI(30),E,-0.077,-0.498,-2.123,0.0344,0.2042,0.45,-0.22,0.1546,0.003,400,False
vol_direction_5d,量方向 5日,R,-0.0733,-0.486,-2.068,0.0393,0.215,0.465,0.064,0.1509,0.0019,400,False
hurst_60d,Hurst 60日,L,-0.124,-0.475,-2.381,0.0178,0.1342,0.48,-0.576,0.2612,0.0002,400,False
vol_cone_20d,波动率锥20日,B,-0.0886,-0.462,-1.969,0.0497,0.2476,0.435,-0.743,0.1917,0.0072,400,False
large_order_50d_2s,50日大单2σ,F,-0.1392,-0.458,-2.938,0.0035,0.0542,0.455,-0.857,0.3041,0.0739,400,True
mom_accel_30d_90d,30-90日动量差,A,0.0932,0.449,1.688,0.0923,0.3732,0.4875,0.613,0.2079,0.0016,400,False
skew_kurt_20d,偏度×峰度20,K,0.0649,0.436,0.107,0.9149,1.0,0.5249,0.16,0.1486,0.0133,381,False
up_down_ratio_20d,涨跌比20日,N,-0.0531,-0.435,-0.524,0.6003,0.8769,0.52,-0.216,0.122,0.0003,400,False
up_down_ratio_5d,涨跌比5日,N,-0.0661,-0.434,-1.924,0.0551,0.2697,0.5,-0.21,0.1522,0.0062,400,False
ma_cross_100_200,MA100/200交叉,D,-0.095,-0.433,-1.111,0.2676,0.617,0.4884,-0.008,0.2196,0.0001,301,False
vol_60d,60日波动率,B,0.104,0.422,2.202,0.0283,0.1794,0.5687,0.692,0.2463,0.0001,371,False
ma_dist_50_100,MA50/100距离,D,-0.1334,-0.414,-2.548,0.0113,0.1017,0.4729,-0.826,0.3224,0.0,351,False
vol_10d,10日波动率,B,-0.0877,-0.41,-1.342,0.1803,0.5186,0.4848,-0.585,0.214,0.0023,396,False
near_low_120d,近120日低,M,-0.0853,-0.407,-0.553,0.5808,0.8665,0.4282,-0.465,0.2095,0.0287,341,False
mfi_change_7,MFI(7)变化,P,0.0659,0.404,1.343,0.1802,0.5237,0.5013,0.593,0.1634,0.0025,391,False
mom5d_vol60d,动量5×波60,K,0.0505,0.402,1.56,0.1197,0.4282,0.5067,0.406,0.1257,0.0111,371,False
co_ratio_50d,收/开比50日,N,-0.0703,-0.402,-1.287,0.1989,0.544,0.4654,0.096,0.1751,0.031,376,False
vol_direction_10d,量方向 10日,R,-0.0781,-0.4,-2.734,0.0065,0.0697,0.4925,-0.254,0.1955,0.0067,400,True
max_dd_20d,20日最大回撤,A,0.0801,0.399,2.413,0.0163,0.1338,0.5275,0.77,0.2007,0.0028,400,False
vwap_slope_10d,VWAP斜率 10日,P,-0.0554,-0.395,-0.173,0.8629,1.0,0.4814,-0.345,0.1401,0.0011,376,False
vol_90d,90日波动率,B,0.0852,0.393,2.38,0.0178,0.138,0.5365,0.565,0.2169,0.0613,356,False
range_pct_10d,10日振幅,B,-0.0749,-0.384,-1.024,0.3066,0.653,0.5,-0.45,0.1949,0.0054,396,False
vol_price_div_20d,20日量价背离,F,0.0778,0.381,1.737,0.0832,0.3465,0.515,0.414,0.2041,0.0034,400,False
path_smoothness_10d,路径平滑度 10日,S,-0.0711,-0.381,-1.844,0.066,0.3019,0.4924,-0.401,0.1865,0.0023,396,False
parkinson_vol_10d,Parkinson 10日,B,-0.0681,-0.379,-1.121,0.2629,0.6112,0.5051,-0.396,0.1799,0.0025,396,False
mfi_change_21,MFI(21)变化,P,-0.0333,-0.376,-0.637,0.5248,0.8367,0.4907,-0.246,0.0887,0.0047,377,False
mom50d_vol20d,动量50×波20,K,-0.0785,-0.373,-1.307,0.1919,0.5408,0.4629,0.263,0.2107,0.0118,391,False
vol_14d,14日波动率,B,-0.068,-0.37,-1.017,0.3096,0.6544,0.5,-0.636,0.1836,0.0004,394,False
ma_dist_100_200,MA100/200距离,D,-0.1523,-0.367,-1.561,0.1196,0.4334,0.4983,-0.329,0.4152,0.0265,301,False
trend_strength_20d,趋势强度20日,L,-0.1178,-0.365,-2.839,0.0048,0.0638,0.4337,-1.459,0.3226,0.0178,362,True
kurt_20d,20日峰度,C,0.086,0.361,1.662,0.0974,0.3882,0.4777,0.704,0.2384,0.0138,381,False
obv_mom_20d,OBV动量20日,F,-0.0503,-0.359,-1.838,0.0669,0.2963,0.4789,-0.66,0.14,0.006,380,False
obv_roc_20d,OBV ROC 20日,Q,-0.0503,-0.359,-1.838,0.0669,0.301,0.4789,-0.66,0.14,0.006,380,False
asymmetry_60d,60日涨跌不对称,C,0.0879,0.353,2.286,0.0228,0.1552,0.5175,1.222,0.2488,0.0024,400,False
kurt_60d,60日峰度,C,-0.0748,-0.349,0.736,0.4623,0.7817,0.5191,0.184,0.2143,0.0059,341,False
fractal_eff_20d,分形效率20日,L,-0.0646,-0.344,-1.712,0.0877,0.3598,0.4675,-0.845,0.1876,0.0069,400,False
mom_40d,40日动量,A,-0.0363,-0.342,-0.588,0.5568,0.8777,0.5025,0.026,0.1063,0.0001,400,False
ret_dispersion_10d,收益离散度 10日,S,0.0614,0.339,0.491,0.6237,0.8701,0.5303,0.042,0.1812,0.0079,396,False
mom50d_vol60d,动量50×波60,K,-0.0735,-0.336,-0.987,0.3241,0.6649,0.469,0.154,0.2186,0.0052,371,False
large_order_20d_3s,20日大单3σ,F,-0.0518,-0.327,-0.615,0.5388,0.8541,0.475,-0.57,0.1583,0.0,400,False
mom5d_vol20d,动量5×波20,K,0.0423,0.32,1.152,0.2501,0.6121,0.5115,0.549,0.1319,0.0127,391,False
mom50d_vol10d,动量50×波10,K,-0.0728,-0.319,-1.474,0.1412,0.4804,0.4722,-0.104,0.2281,0.0088,396,False
near_high_20d,近20日高,M,0.0493,0.319,1.885,0.0602,0.2799,0.509,0.322,0.1546,0.0009,391,False
mom_5d,5日动量,A,0.039,0.316,1.384,0.1672,0.5183,0.5125,0.344,0.1233,0.0153,400,False
trend_strength_14d,趋势强度14日,L,-0.122,-0.314,-2.958,0.0033,0.0542,0.4439,-0.894,0.3891,0.0001,374,True
ema_dist_50,EMA50距离,D,-0.044,-0.31,-0.183,0.8552,1.0,0.4707,-0.06,0.1419,0.0,376,False
vol_cone_60d,波动率锥60日,B,0.063,0.308,0.947,0.3442,0.6959,0.5175,-0.102,0.2042,0.0499,400,False
hurst_20d,Hurst 20日,L,-0.0537,-0.307,-0.459,0.6466,0.8843,0.465,-0.073,0.1753,0.0019,400,False
parkinson_vol_60d,Parkinson 60日,B,0.0731,0.304,1.657,0.0983,0.3863,0.5526,0.506,0.2407,0.0118,371,False
rsi7_vol_ratio,RSI7×量比,K,-0.0646,-0.304,-1.229,0.2199,0.5788,0.4936,-0.255,0.2127,0.0048,391,False
near_high_120d,近120日高,M,-0.0872,-0.304,-0.791,0.4295,0.7537,0.4663,-0.333,0.2871,0.0051,341,False
mom_rank_20d,动量排名 20日分位,S,0.079,0.304,2.537,0.0116,0.1011,0.5543,1.082,0.2603,0.0433,341,False
mom_60d,60日动量,A,-0.0759,-0.303,-1.057,0.2912,0.65,0.465,-0.285,0.2505,0.0027,400,False
tail_events_60d_2s,60日2σ尾部,C,-0.0613,-0.301,-2.062,0.0398,0.2135,0.455,-0.247,0.2038,0.0023,400,False
mom_rank_10d,动量排名 10日分位,S,0.0792,0.298,2.131,0.0338,0.205,0.5279,0.801,0.2662,0.0306,341,False
near_low_60d,近60日低,M,-0.0926,-0.296,-0.668,0.5044,0.8278,0.4205,-0.169,0.3124,0.0182,371,False
fractal_eff_50d,分形效率50日,L,0.0942,0.295,3.105,0.002,0.0372,0.515,1.002,0.3192,0.0015,400,False
yz_vol_60d,YZ波动率 60日,O,0.0654,0.294,1.318,0.1882,0.5358,0.531,0.384,0.2227,0.0172,371,False
rsi_50,RSI(50),E,-0.0665,-0.291,-2.055,0.0405,0.2132,0.465,-0.779,0.2284,0.0019,400,False
gk_vol_60d,GK波动率 60日,O,0.0678,0.291,1.394,0.164,0.5141,0.5256,0.385,0.2332,0.0201,371,False
mom_180d,180日动量,A,-0.0423,-0.29,-0.58,0.5621,0.8761,0.4875,0.019,0.1459,0.0285,400,False
obv_ma_cross_10_50,OBV MA10/50交叉,Q,-0.0854,-0.29,-2.722,0.0068,0.0703,0.484,-0.757,0.2946,0.0332,376,False
obv_price_confirm_10d,OBV确认10日,K,0.0328,0.288,0.652,0.5149,0.8352,0.5179,0.327,0.1138,0.0031,390,False
ma_cross_10_20,MA10/20交叉,D,-0.0748,-0.279,-0.401,0.6889,0.9285,0.4476,-0.151,0.2681,0.0001,391,False
upper_wick_ratio_5d,上影线比5日,M,-0.0404,-0.278,-0.163,0.8702,1.0,0.4837,-0.609,0.1451,0.0072,399,False
lower_wick_ratio_5d,下影线比5日,M,0.0404,0.278,0.163,0.8702,1.0,0.5038,0.609,0.1451,0.0072,399,False
ma_dist_10_50,MA10/50距离,D,-0.0557,-0.277,-0.568,0.5704,0.8696,0.4707,-0.201,0.2009,0.0005,376,False
vol_ratio_20_100,量比(20/100),F,-0.0817,-0.277,-1.16,0.2468,0.6094,0.4672,-0.604,0.2949,0.0055,351,False
gk_vol_20d,GK波动率 20日,O,0.0521,0.277,0.184,0.8539,1.0,0.5013,0.48,0.1884,0.0004,391,False
mom_1d,1日动量,A,-0.0206,-0.276,-0.494,0.6219,0.8719,0.48,-0.144,0.0746,0.0053,400,False
rs_vol_20d,RS波动率 20日,O,0.0545,0.274,0.199,0.8427,1.0,0.5038,0.394,0.1992,0.0004,391,False
near_high_60d,近60日高,M,-0.0554,-0.268,-0.823,0.4109,0.7349,0.4717,0.207,0.2071,0.0281,371,False
rs_vol_60d,RS波动率 60日,O,0.0578,0.266,1.144,0.2532,0.6143,0.5202,0.309,0.2171,0.0206,371,False
vol_30d,30日波动率,B,0.0596,0.265,0.865,0.3878,0.7514,0.5026,0.44,0.2251,0.0003,386,False
upper_wick_ratio_10d,上影线比10日,M,0.0373,0.262,0.566,0.5718,0.8623,0.5152,0.542,0.1426,0.0058,396,False
lower_wick_ratio_10d,下影线比10日,M,-0.0373,-0.262,-0.566,0.5718,0.867,0.4722,-0.542,0.1426,0.0058,396,False
power_shift_10d,力量转向 10日,R,-0.0494,-0.262,-1.198,0.2316,0.5983,0.4793,-0.357,0.1886,0.0034,386,False
rsi_14,RSI(14),E,-0.0564,-0.259,-1.429,0.1539,0.5052,0.4825,-0.066,0.218,0.0087,400,False
near_low_20d,近20日低,M,-0.0544,-0.258,-0.546,0.5853,0.8686,0.4629,-0.013,0.2109,0.0134,391,False
gk_vol_10d,GK波动率 10日,O,-0.0466,-0.257,-1.009,0.3136,0.6579,0.4899,-0.06,0.1811,0.002,396,False
mom5d_vol10d,动量5×波10,K,0.0344,0.254,0.807,0.42,0.7464,0.5101,0.503,0.1354,0.0107,396,False
ma_cross_10_50,MA10/50交叉,D,-0.0556,-0.244,0.051,0.9593,1.0,0.4495,0.047,0.2279,0.0,376,False
vwap_dev_5d,VWAP偏离 5日,P,-0.0174,-0.239,0.099,0.9215,1.0,0.4837,0.086,0.0729,0.0045,399,False
upper_wick_ratio_20d,上影线比20日,M,-0.067,-0.236,-0.862,0.3892,0.7387,0.4757,-0.417,0.2835,0.0012,391,False
lower_wick_ratio_20d,下影线比20日,M,0.067,0.236,0.862,0.3892,0.7337,0.5115,0.417,0.2835,0.0012,391,False
mom_50d,50日动量,A,-0.0568,-0.235,-0.933,0.3512,0.7049,0.4775,0.137,0.242,0.0131,400,False
yz_vol_20d,YZ波动率 20日,O,0.0476,0.229,0.115,0.9088,1.0,0.4885,0.556,0.2076,0.0005,391,False
parkinson_ratio_10d,Parkinson比 10日,O,0.0454,0.229,1.43,0.1536,0.5102,0.5177,0.266,0.1986,0.0345,396,False
co_ratio_5d,收/开比5日,N,0.0267,0.228,1.141,0.2547,0.6074,0.4987,0.237,0.1171,0.0116,399,False
obv_mom_5d,OBV动量5日,F,-0.0421,-0.223,-1.585,0.1139,0.4181,0.4937,-0.669,0.1884,0.0031,395,False
obv_roc_5d,OBV ROC 5日,Q,-0.0421,-0.223,-1.585,0.1139,0.4237,0.4937,-0.669,0.1884,0.0031,395,False
autocorr_5d,自相关lag5,L,0.0612,0.219,1.142,0.2543,0.6116,0.5364,0.211,0.2794,0.0015,371,False
mom_accel_10d_50d,10-50日动量差,A,0.052,0.217,1.396,0.1635,0.5184,0.495,0.736,0.2396,0.0016,400,False
mom20d_vol10d,动量20×波10,K,-0.0466,-0.214,-0.164,0.8695,1.0,0.4874,0.016,0.2178,0.0157,396,False
yz_vol_10d,YZ波动率 10日,O,-0.0421,-0.211,-1.04,0.2988,0.6413,0.4874,0.078,0.1994,0.0014,396,False
ma_dist_5_60,MA5/60距离,D,-0.0434,-0.208,-0.522,0.6023,0.8662,0.4528,0.25,0.2092,0.0013,371,False
ret_dispersion_5d,收益离散度 5日,S,0.0341,0.196,-0.58,0.562,0.8809,0.4937,-0.669,0.1734,0.0011,399,False
trend_strength_30d,趋势强度30日,L,-0.0725,-0.193,-2.389,0.0175,0.1395,0.4094,-0.89,0.3756,0.0886,342,False
range_pct_20d,20日振幅,B,0.0422,0.191,0.207,0.8359,1.0,0.4987,0.491,0.2203,0.0,391,False
mom_ratio_20_100,动量比 20/100日,S,-0.0342,-0.189,-0.58,0.5624,0.8717,0.505,-0.365,0.1816,0.0005,400,False
parkinson_vol_20d,Parkinson 20日,B,0.035,0.188,-0.021,0.9836,1.0,0.4962,0.463,0.1864,0.0003,391,False
power_shift_5d,力量转向 5日,R,0.0416,0.187,1.424,0.1553,0.5038,0.4746,0.085,0.2218,0.001,394,False
skew_kurt_60d,偏度×峰度60,K,0.0403,0.181,1.587,0.1134,0.4275,0.5308,-0.112,0.2222,0.0053,341,False
mom_accel_5d_20d,5-20日动量差,A,0.0357,0.179,-0.001,0.9991,1.0,0.4975,0.273,0.1995,0.0012,400,False
mom_2d,2日动量,A,-0.0184,-0.172,-0.228,0.8201,1.0,0.5,-0.342,0.1071,0.0026,400,False
